377, 184
959, 160
354, 149
219, 185
14, 194
988, 128
272, 104
795, 132
631, 151
743, 109
127, 123
783, 136
588, 127
31, 118
12, 77
342, 148
770, 68
187, 105
502, 57
684, 187
863, 70
37, 147
324, 77
89, 186
883, 161
23, 78
640, 116
888, 79
469, 116
295, 72
224, 153
750, 164
249, 81
661, 189
349, 61
379, 161
904, 189
230, 169
898, 93
305, 133
957, 178
819, 190
887, 133
671, 143
911, 102
74, 138
658, 174
263, 65
147, 134
873, 68
195, 51
483, 56
277, 143
978, 127
901, 51
73, 108
917, 118
114, 151
601, 159
974, 188
924, 133
697, 57
553, 137
435, 171
427, 68
604, 111
664, 131
498, 186
524, 74
96, 151
835, 77
902, 124
299, 94
238, 138
573, 125
713, 75
826, 195
240, 123
579, 86
472, 157
431, 147
977, 124
383, 197
776, 192
101, 129
381, 144
98, 167
424, 72
748, 192
980, 124
36, 154
95, 182
847, 65
561, 67
779, 62
698, 51
204, 106
151, 77
302, 192
346, 66
